random	noun/verb	location	#1 String	#2 String
optimization	N	2-3	the simultaneous optimization of growth and profitability	to promote the optimization and diversification of agricultural products
base	N	1-6	the base of the triangle	the attack wiped out our forward bases
make	V	4-6	How much do you make a month in your new job ?	You have to spend money to make money !
shake	V	0-1	shake one 's head	She shook her finger at the naughty students
face	N	4-7	They climbed the north face of the mountain .	She wanted to wipe him off the face of the earth .
sale	N	5-3	They are having a clearance sale : 50 % off .	they held a sale to reduce their inventory
play	N	3-5	they gave full play to the artist 's talent	the coach drew up the plays for her team
hold	V	6-2	To carry well , i.e. to hold the head high , with arching neck	This theory holds for all irrational numbers
charge	V	3-2	I need to charge my car battery	He came charging into my office
back	N	6-6	he wrote the date on the back of the photograph	I hung the clothes on the back of the door .
grow	V	5-4	In these forests , mushrooms grow under the trees	her hair does n't grow much anymore
cut	V	0-0	cut recording tape	cut from one scene to another
gob	N	4-5	He′s always stuffing his gob with fast food .	She 's got such a gob on her – she′s always gossiping about someone or other .
air	N	7-4	The flock of birds took to the air .	I need some fresh air
monopoly	N	1-4	a monopoly on silver	when you have a monopoly you can ask any price you like
come	V	0-1	come into contact with a terrorist group	Understanding comes from experience
make	V	2-3	Do n't make this into a big deal	This invention will make you a millionaire
advance	V	1-1	To advance the ripening of fruit	To advance one 's interests
extend	V	2-1	The facts extend beyond a consideration of her personal assets	She extended her visit by another day
run	V	2-4	Interest rates run from 5 to 10 percent	Our coach had us running plays for the whole practice .
make	V	0-0	make clay into bricks	make water into wine
one	N	3-4	he has the one but will need a two and three to go with it	they had lunch at one
charge	V	0-3	charge the wagon with hay	Will I get charged for this service ?
sense	N	1-1	a sense of self	a sense of danger
presence	N	3-4	he sensed the presence of danger	he tested for the presence of radon
see	V	0-4	see a movie	This program will be seen all over the world
multiply	V	3-3	He managed to multiply his profits	He had been multiplying , but it occurred to him he needed to resolve the exponents , first .
saving	N	3-8	there was a saving of 50 cents	The shift of the supplier gave us a saving of 10 percent .
float	V	0-2	float the plaster	The balloon floated off into the distance .
cut	V	0-4	cut class	The employer wants to cut back health benefits
defensiveness	N	1-11	his defensiveness was manifested in hurt silence	the fear of being sued for malpractice has magnified physicians ' defensiveness
touch	V	3-5	I would n't touch her with a ten - foot pole	The local Mafia wo n't touch gambling
origin	N	0-1	origin in sensation	vegetable origins
tab	N	4-2	files with a red tab will be stored separately	pull the tab to open the can
repertory	N	3-1	has a large repertory of dialects and characters	the repertory of the supposed feats of mesmerism
lead	N	9-5	we were just waiting for someone to take the lead	they did n't follow our lead
side	N	7-6	The patient was bleeding on the right side .	he had a pain in his side
top	N	7-5	the title should be written at the top of the first page	he got a bright red top and string for his birthday
life	N	6-1	he wanted to live his own life without interference from others	The life of this milk carton may be thousands of years in this landfill .
wound	N	7-8	deep in her breast lives the silent wound	he feared that mentioning it might reopen the wound
loaf	N	1-1	sugar loaf	a loaf of cheese
eye	N	5-3	he has an artist 's eye	she has an eye for fresh talent
go	V	5-2	The washing machine wo n't go unless it 's plugged in	her face went red with anger
end	N	5-4	no one wanted to play end	they rode to the end of the line
sale	N	6-5	he has just made his first sale	they had to complete the sale before the banks closed
beam	V	1-2	To beam forth light	The fire beamed on their faces
be	V	2-3	I shall be writing to you soon .	The postman has been today , but my tickets have still not yet come .
place	N	5-5	If you were in my place what would you do ?	a political system with no place for the less prominent groups
paste	V	0-2	paste the sign on the wall	cut and paste the sentence in the text
earth	V	0-9	earth the circuit	That noise is because the amplifier is not properly earthed .
turn	V	18-5	The hillside behind our house is n't generally much to look at , but once all the trees turn it 's gorgeous .	In Vermont , the leaves turn early
trial	N	1-5	a trial of progesterone failed to relieve the pain	candidates must compete in a trial of skill
text	N	5-8	they handed out the printed text of the mayor 's speech	there were more than a thousand words of text
system	N	1-3	a system generating hydrogen peroxide	in a static system oil can not be replaced by water on a surface
change	N	5-5	The product is undergoing a change in order to improve it .	this storm is certainly a change for the worse
be	V	2-1	I shall be writing to you soon .	Why is it so dark in here ?
beat	V	1-1	Thugs beat him up when he walked down the street late at night	Agassi beat Becker in the tennis championship
cut	V	1-0	She cut the deck for a long time	cut a disk
work	V	0-4	work one 's way through the crowd	She never did any work because she inherited a lot of money
go	V	4-2	This sofa wo n't go with the chairs	We should go farther in this matter
voice	N	3-3	the wee small voice of conscience	he said his voices told him to do it
know	V	1-1	I know that the President lied to the people	I know it 's time
answer	V	0-0	answer the telephone	answer the door
come	V	1-3	Melons come from a vine	your wish will come true
window	N	2-3	the expanded window will give us time to catch the thieves	they had a window of less than an hour when an attack would have succeeded
catch	V	2-2	did you catch that allusion ?	If he catches you on the chin , you 'll be on the mat .
drink	V	3-1	The patient must drink several liters each day	He drank out of the goblet .
quality	N	14-3	While being impulsive can be great for artists , it is not a desirable quality for engineers .	One of the qualities of pure iron is that it does not rust easily .
land	N	7-6	he made it the law of the land	there 's no work on the land any more
construct	V	0-0	construct an argument	construct a proof
voice	N	2-2	the noisy voice of the waterfall	the incessant voices of the artillery
make	N	1-1	what make of car is that ?	He made a real mess of the last shuffle .
mount	V	0-0	mount a theater production	mount a play
level	N	4-6	the water reached ankle level	the pictures were at the same level
mean	V	1-2	I mean no harm	I only meant to help you
system	N	9-4	we ca n't do it unless we establish some system around here	the body has a system of organs for digestion
draw	V	0-1	draw pulp from the fruit	To draw a memorial , a deed , or bill of exchange
cut	V	1-2	She cut all of her major titles again	The coach cut two players from the team
furniture	N	9-4	The woman does not even have one stick of furniture moved in yet .	they had too much furniture for the small apartment
raise	V	1-0	To raise somebody to office	raise the specter of unemployment
fall	V	0-1	fall into a strange way of thinking	She fell ill
field	N	8-6	anthropologists do much of their work in the field	He needs some time in the field before his judgment can be trusted .
carry	V	2-1	These bonds carry warrants	We carry a very large mortgage
make	V	0-0	make friends	make lead into gold
lift	V	0-0	lift my spirits	lift his ego
extension	N	1-7	the extension of ` satellite of Mars ' is the set containing only Demos and Phobos	A text file will have a file extension of .txt .
vehicle	N	4-5	his editorials provided a vehicle for his political views	the play was just a vehicle to display her talents
streak	N	2-7	had a streak of bad luck	I hope I can keep up this streak of accomplishments .
immolate	V	0-2	immolate the valuables at the temple	The Aztecs immolated human victims
gather	V	6-12	Be careful not to stretch or gather your knitting .	If you want to emphasise the shape , it is possible to gather the waistline .
shuffle	V	1-1	You shuffle , I 'll deal .	He shuffled his funds among different accounts in various countries so as to avoid the IRS
break	V	1-4	Twigs break off of those branches easily .	The newsman wanted to break a big story , something that would make him famous .
mercy	N	3-5	It was a mercy that we were not inside when the roof collapsed	he threw himself on the mercy of the court
charge	N	5-4	he was arrested on a charge of larceny	The child was a charge of the nanny .
masquerade	N	1-3	That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome - Thomas de Quincey	a beggar 's masquerade of wealth
get	V	3-1	What do you get when you add up these numbers ?	I got a computer from my parents for my birthday .
prescription	N	5-10	I tried to follow her prescription for success	he told the doctor that he had been taking his prescription regularly
way	N	4-3	I felt the same way	that 's the way it is
run	V	2-0	Do n't run that software unless you have permission . '	Run the dishwasher
letter	N	3-3	mailed an indignant letter to the editor	A blood - letter
make	V	3-0	He did n't make the choir after his voice changed .	make a dress
style	N	2-2	a cartilaginous style	The anal styles of insects
touch	V	3-2	I would n't touch her with a ten - foot pole	She never touched her husband
go	V	2-6	Let 's go this way for a while .	Do you think the sofa will go through the door ?     The belt just barely went around his waist .
performance	N	5-5	we congratulated him on his performance at the rehearsal	the play ran for 100 performances
evil	N	6-5	attempts to explain the origin of evil in the world	Do n't go giving me evils !
blow	V	1-2	To blow a horse	The whales blew
run	V	4-2	The crowd had to run away from the burning structure with only the clothes on their backs .	he is running the Marathon this year
shopping	N	3-6	she loaded her shopping into the car"women carrying home shopping did n't give me a second glance	On Saturdays we usually do the shopping .
head	N	1-6	a head of steam	the office was full of secret heads
develop	V	0-2	develop land	The country developed its natural resources
give	V	0-2	give priority to	Can I give you my keys while I go in the pool ?
area	N	8-1	The photo is a little dark in that area .	the area of a rectangle
work	V	0-3	work one 's muscles	My personal trainer works me hard
cut	V	3-0	she could not cut the long days in the office	cut grain
work	V	7-2	this unpleasant situation is n't going to work itself out	The wine worked
beat	V	0-0	beat one 's breast	beat one 's foot rhythmically
nick	N	7-9	He 's just been released from Shadwell nick prison after doing ten years for attempted murder .	He was arrested and taken down to Sun Hill nick police station to be charged .
hum	N	1-4	the hum of distant traffic	They could hear a hum coming from the kitchen , and found the dishwasher on .
line	N	5-1	they attacked the enemy 's line	the line stretched clear around the corner
come	V	0-2	come into contact with a terrorist group	Their anger came to a boil
look	V	2-2	My backyard look onto the pond	The house looks north
make	V	0-0	make a decision	make advances
matter	N	1-7	Printed matter ;    He always took some reading matter with him on the plane .	they were friends and it was no matter who won the games
cut	V	3-0	We had to cut short the conversation	cut the noise
follow	V	1-1	Please follow the guide through the museum	She followed a guru for years
point	V	0-3	point the letter	the dancers toes pointed outward
space	N	3-5	the architect left space in front of the building	they stopped at an open space in the jungle
wall	N	4-1	We 're adding another wall in this room during the remodeling .	the walls were covered with pictures
use	V	0-6	use the plastic bags to store the food	He does n't know how to use a computer
head	N	2-6	under the head of minor Roman poets	they tracked him back toward the head of the stream
flare	N	5-2	infection can cause a lupus flare	a colitis flare
book	N	5-1	Many readers find the first book of A Tale of Two Cities to be confusing .	the book of Isaiah
join	V	3-3	Parallel lines never join .     These two rivers join in about 80 miles .	The two roads join here
pull	V	0-0	pull the trigger of the gun	Pull the handle towards you
wash	V	2-1	Can you wash away the spots on the windows ?	he washed the dirt from his coat
fatigue	N	1-6	political fatigue	the American public is experiencing scandal fatigue
drive	V	0-2	drive the forest	She is driving away at her doctoral thesis
extension	N	6-7	most BASIC files use the filename extension .BAS	A text file will have a file extension of .txt .
wave	N	1-4	a wave of conservatism in the country led by the hard right	there was a sudden wave of buying before the market closed
send	V	1-1	To send a message , or a letter	Nora sent me the book .
dwelling	N	6-4	The old house served as a dwelling for Albert .	he built a modest dwelling near the pond
fire	V	5-1	In warfare , whoever opens fire first has a greater chance of victory .	Surrender fires the cold skepticism
position	N	8-6	Chief of Staff is the second - highest position in the army .	atheists do not enjoy a favorable position in American life
reaction	N	7-5	he was pleased by the audience 's reaction to his performance	John feared his mother 's reaction when she saw the broken lamp
make	V	4-1	How much do you make a month in your new job ?	This makes a fine introduction
weakness	N	1-8	the weakness of the dollar against the yen	In a small number of horses , muscle weakness may progress to paralysis .
plagiarism	N	7-6	Even if it 's not illegal , plagiarism is usually frowned upon .	Copy from one , it 's plagiarism . Copy from two , it 's research .
hold	V	2-0	I 'll hold you by your promise	hold one 's nose
stuff	V	0-4	stuff a pillow with feathers	My nose is all stuffed
weapon	N	13-5	The club that is now mostly used for golf was once a common weapon .	he used all his conversational weapons
hold	V	0-2	hold your breath	What 's holding that mirror ?
lumberyard	N	6-6	I 'll just go to the lumberyard and buy some more two by fours so we can finish building this .	He got a job at the lumberyard , working the big saw for planks .
chain	N	1-1	A chain of mountains	the chain of command
break	V	0-4	break the cycle of poverty	The newsman wanted to break a big story , something that would make him famous .
run	V	0-1	run a temperature	We ran the ad three times
break	V	0-3	break a circuit	His peccadilloes finally broke his marriage
sanitize	V	0-0	sanitize a document before releasing it to the press	sanitize history
keep	V	0-0	keep notes	keep open the possibility of a merger
get	V	3-0	I ca n't get these boots off ( or on ) .	Get me those books over there , please
work	V	4-2	This dough does not work easily ;    the soft metal works well	Can you work an electric drill ?
line	N	4-3	they were arrayed in line of battle	He drew a line on the chart
tell	V	2-2	He could tell that she was unhappy	Can you tell whether those flowers are real or silk , from this distance ?     No , there 's no way to tell .
performance	N	5-2	we congratulated him on his performance at the rehearsal	the frequent performances of the symphony testify to its popularity
pull	N	6-5	he was sidelined with a hamstring pull	Iron fillings drawn by the pull of a magnet
foot	N	4-1	We went there by foot because we could not afford a taxi .	the foot of the list
break	V	0-4	break a promise	The flat plain was broken by tall mesas
dwelling	N	6-2	The old house served as a dwelling for Albert .	I was dwelling in the cave .
get	V	3-3	What did you get at the toy store ?	She did n't get his name when they met the first time
pull	V	0-0	pull one 's horse to a stand	pull the ball
start	V	0-1	start a new job	I start my day with a good breakfast
glimpse	N	7-4	from the window he could catch a glimpse of the lake	I only got a glimpse of the car , so I can tell you the colour but not the registration number .
bear	V	3-1	I can not bear his constant criticism	he bore himself with dignity
shortness	N	2-3	can cause shortness of breath	there was no shortness of money
turn	V	4-0	The alchemists tried to turn lead into gold	turn the corner
point	N	4-3	To fall off a point	he checked the point on his compass
talk	V	9-2	Although I do n't speak Chinese I managed to talk with the villagers using signs and gestures .	the baby talks already
order	N	5-4	an explosion of a low order of magnitude	it was on the order of a mile
work	V	4-4	This method does n't work	How does your idea work in practice ?
raise	V	0-8	raise a smile	Chew with your mouth shut — were you raised in a barn ?
crack	N	5-6	he opened the window a crack	I 'd like to take a crack at that game .
feel	V	4-1	I made the students feel different about themselves	He felt his flesh crawl
get	V	3-3	I ca n't get these boots off ( or on ) .	She did n't get the joke
admit	V	1-2	To admit a serious thought into the mind	A ticket admits one into a playhouse .
life	N	5-13	the oceans are teeming with life	Having experienced both , the vampire decided that he preferred ( un)death to life .
begin	V	0-0	begin a new chapter in your life	begin a cigar
shift	V	0-0	shift the emphasis	shift one 's attention
head	N	6-6	A reduction in the assessment per head of sheep	At five years of age this head of cattle is worth perhaps $ 40
carry	V	7-0	the dog was taught to fetch and carry	carry a cause
satellite	N	5-2	The Moon is a natural satellite of the Earth .	Many telecommunication satellites orbit at 36000 km above the equator .
grace	N	8-2	I 'm so grateful to God for the grace that He has given me .	God 's grace is manifested in the salvation of sinners
work	V	5-3	Start from the bottom and work towards the top	I can not work a miracle
antagonist	N	10-8	A flexor , which bends a part , is the antagonist of an extensor , which extends it .	when bending the elbow the triceps are the antagonist
develop	V	1-0	Please develop this roll of film for me	develop land
business	N	3-4	a racially integrated business concern	show me where the business was today
sex	N	10-6	( The believers ... those ... ) who abstain from sex	All you ever think about is sex .
head	N	4-6	matters came to a head yesterday	they tracked him back toward the head of the stream
break	V	0-2	break an alibi	The wholesaler broke the container loads into palettes and boxes for local retailers .
attack	N	2-5	open to attack by the elements	the film was sensitive to attack by acids
make	V	2-1	can you make me an omelette ?	I make the height about 100 feet
flatten	V	0-2	flatten a road	Mary would flatten the dough before rolling it into pretzels .
add	V	1-3	To add numbers	This paper will add to her reputation
carry	V	2-1	These bonds carry warrants	To carry an account to the ledger
anchorage	N	5-4	the plant needs a firm anchorage	the mother provides emotional anchorage for the entire family
deficit	N	5-4	the people concerned have a deficit in verbal memory	they have serious linguistic deficits
confluence	N	7-5	We encountered an abandoned boat at the confluence of the Mississippi and Ohio Rivers .	Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers
make	V	3-0	What do you make of his remarks ?	make a dress
strength	N	1-5	the strength of the company 's stock in recent weeks	it was destroyed by the strength of the gale
normalize	V	0-0	normalize relations with China	normalize the spelling
peeler	N	1-4	Potato peeler	she invented a potato peeler
undergo	V	0-2	undergo a strange sensation	The chemical undergoes a sudden change
chain	N	5-1	This led to an unfortunate chain of events .	the chain of command
